Respondent ID,Age group,Gender,Category,Marital status,Deciding factors to buy car,Likelihood of customised vehicle if FOC,Exterior components to customise,Interior components to customise,Customisation Budget,Interest in personalising car,Personalisation Budget,Any cadding experience,Singaporean design idea feedback,Total exterior parts to customise,Total interior parts to customise,Total factors to buy car
0ff45915-70a0-461c-b645-83aea3216045,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Side mirrors,Centre compartment;Door handles,500-1000,Yes,500-1000,"Yes, I can design on my own",-,3,2,5
97cb9e87-17ab-4257-a1c2-3c3901db33cb,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Grilles;Headlights;Side mirrors;Bumpers,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,"Yes, I can design on my own",hooks to hang my drinks from coffee shops that come in a plastic bag,4,2,5
861474f5-7d2c-4313-a8c4-94d4e82844c3,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size,Likely,Wheels;Grilles;Headlights,Steering wheel;Centre compartment;Door handles,under 500,No,under 500,"No, I would need a designer to model my sketch",-,3,3,5
361227b1-eb59-4d49-a9c5-4da013484525,20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Side mirrors,Door handles,0,Only with professional help,0,"No, I would need a designer to model my sketch",-,3,1,6
9bdd29a6-a45d-44a1-afb3-bd7ded010171,31-40,Male,Own a car,Married with children,Price;Functionality;Size,Likely,Grilles;Headlights;Side mirrors,Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",Petrol is expensive in Singapore. Car that is very fuel efficiency. EV is welcome as well,3,2,3
6afe2116-aa7f-435e-9653-c1b0d3db9f5e,20-30,Male,"Do not own a car, but planning to purchase in future",Single,-,Very likely,Wheels,Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own",-,1,1,1
585cc180-88aa-4f08-a542-32d7a1dc3bed,20-30,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Aesthetics;Size,Very likely,Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own",-,1,3,3
b3da2ec1-c73d-4189-b965-19932c3bec40,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics,Very likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",-,2,1,3
86b55dfd-186a-4adf-8a34-2eb6111cbda3,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Very likely,Grilles;Bumpers,Dashboard,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",-,2,1,4
3c3579e7-814f-4566-85e7-3fa1544c9621,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","Hook to hold packet drinks , smaller car with sporty look ,affordable(due to COE) but can make many customization, look more like hatchback cars due to small space in singapore.  ",5,3,6
c367ba58-3f3a-4f70-9273-669e68f91c1b,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own",Automated Aircon Temperature  regulator so driver feel comfortable without adjusting temperature  (Singapore is hot driver will lower temperature which is bad for the environment),3,1,8
a104048f-ddbb-4836-97cb-e980f9e1dc12,41-50,Female,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,No,over 1000,"No, I would need a designer to model my sketch",classic look,5,4,8
c25d67e7-b236-46e8-9f06-8a16a8586d31,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Not likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",-,2,1,6
c8dc2921-7250-4b59-8a33-195ed8892747,41-50,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options,Likely,Wheels;Headlights;Bumpers,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own",Solar Panel included in car to save energy.,3,2,7
55192bfc-0552-4d31-9da4-1f3f9341c65c,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Customisable options,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own",-,1,4,4
