Total exterior parts to customise,Total interior parts to customise,Total factors to buy car
1,1,4
4,1,7
4,2,3
5,4,8
4,2,5
2,2,6
2,2,3
1,3,3
1,4,5
1,1,1
3,3,4
1,1,5
3,3,4
1,1,5
1,1,6
3,2,3
1,2,2
1,2,6
2,2,4
3,2,4
3,2,3
2,1,4
1,4,5
1,1,4
3,2,5
4,2,5
3,3,5
3,1,6
3,2,3
1,1,1
1,3,3
2,1,3
2,1,4
5,3,6
3,1,8
5,4,8
2,1,6
3,2,7
1,4,4
1,1,1
4,2,4
3,3,5
4,2,5
3,1,6
1,2,6
2,2,3
2,3,5
1,1,6
2,1,5
3,4,4
